key,date,value
A,1/1/08,284525
A,1/1/09,446050
A,1/1/10,1094050
A,1/1/11,3553675
A,1/1/12,7460575
A,1/1/13,15564825
A,1/1/14,35506675
A,1/1/15,88159525
A,10/1/07,47700
A,10/1/08,129350
A,10/1/09,915925
A,10/1/10,2946700
A,10/1/11,6887350
A,10/1/12,11332100
A,10/1/13,24387350
A,10/1/14,101550625
A,10/1/15,129486425
A,11/1/07,66950
A,11/1/08,200150
A,11/1/09,1020700
A,11/1/10,3751425
A,11/1/11,6138900
A,11/1/12,10280275
A,11/1/13,38050000
A,11/1/14,57085575
A,11/1/15,96892225
A,12/1/07,66850
A,12/1/08,359550
A,12/1/09,1057175
A,12/1/10,4241325
A,12/1/11,4790625
A,12/1/12,15953175
A,12/1/13,36214575
A,12/1/14,29305275
A,12/1/15,111830650
A,2/1/08,189500
A,2/1/09,434300
A,2/1/10,1032850
A,2/1/11,2734775
A,2/1/12,8725025
A,2/1/13,18496525
A,2/1/14,33141275
A,2/1/15,64386925
A,3/1/08,220650
A,3/1/09,541000
A,3/1/10,1251950
A,3/1/11,2889925
A,3/1/12,9689925
A,3/1/13,22379750
A,3/1/14,31036100
A,3/1/15,62618675
A,4/1/08,155675
A,4/1/09,691400
A,4/1/10,1241600
A,4/1/11,2695450
A,4/1/12,8683600
A,4/1/13,21912175
A,4/1/14,38762025
A,4/1/15,88820950
A,5/1/08,112625
A,5/1/09,525200
A,5/1/10,1779325
A,5/1/11,3234300
A,5/1/12,9506075
A,5/1/13,16506725
A,5/1/14,37959225
A,5/1/15,85609175
A,6/1/07,25600
A,6/1/08,95850
A,6/1/09,671600
A,6/1/10,1953150
A,6/1/11,3700075
A,6/1/12,7641525
A,6/1/13,17558200
A,6/1/14,32192000
A,6/1/15,72632475
A,7/1/07,72750
A,7/1/08,138900
A,7/1/09,670300
A,7/1/10,2102200
A,7/1/11,3820625
A,7/1/12,8785325
A,7/1/13,19964225
A,7/1/14,52835275
A,7/1/15,113862175
A,8/1/07,76850
A,8/1/08,48300
A,8/1/09,794225
A,8/1/10,1498575
A,8/1/11,4991325
A,8/1/12,11760800
A,8/1/13,20132275
A,8/1/14,43582575
A,8/1/15,89543750
A,9/1/07,34500
A,9/1/08,47500
A,9/1/09,932800
A,9/1/10,1931200
A,9/1/11,6220275
A,9/1/12,11658525
A,9/1/13,19557400
A,9/1/14,30456150
A,9/1/15,73574400
B,1/1/08,647500
B,1/1/09,694525
B,1/1/10,2444675
B,1/1/11,3991225
